source,title,publisher,issn,eissn,field,scopus,wos,wos_indexes,abdc_rating
scopus_mar_2026,A journal of Jewish medical ethics and halacha,Dr. Falk Schlesinger Institute for Medical Halachic Research,,,2700,true,,,
scopus_mar_2026,A. M. A. Archives of Dermatology,American Medical Association,00965359,23756772,2708,true,,,
scopus_mar_2026,A. M. A. archives of dermatology and syphilology,American Medical Association,00965979,23756780,2708,true,,,
scopus_mar_2026,A. M. A. archives of industrial health,American Medical Association,05673933,,2308; 2100; 2102; 2103; 2611; 2105,true,,,
scopus_mar_2026,A. M. A. archives of industrial hygiene and occupational medicine,American Medical Association,00966703,,2700,true,,,
scopus_mar_2026,A. M. A. archives of neurology and psychiatry,American Medical Association,00966886,,2700,true,,,
scopus_mar_2026,A. M. A. archives of pathology,American Medical Association,00966711,,2700,true,,,
scopus_mar_2026,A.M.A Archives of Surgery,American Medical Association,00966908,23763566,2746,true,,,
scopus_mar_2026,A.M.A. American Journal of Diseases of Children,American Medical Association,00968994,23742976,2735,true,,,
scopus_mar_2026,A.M.A. archives of internal medicine,American Medical Association,08882479,,2724,true,,,
scopus_mar_2026,A.M.A. Archives of Neurology,American Medical Association,03758540,23309644,2728,true,,,
scopus_mar_2026,A.M.A. Archives of Ophthalmology,American Medical Association,00966339,2374765X,2731,true,,,
scopus_mar_2026,A.M.A. Archives of Otolaryngology,American Medical Association,00966894,23756802,2733,true,,,
scopus_mar_2026,a/b: Auto/Biography Studies,Routledge,08989575,21517290,3316; 1202; 1208,true,,,
scopus_mar_2026,A/Z ITU Journal of the Faculty of Architecture,"Istanbul Teknik Universitesi, Faculty of Architecture",25647474,25647571,1213; 3322; 2216; 2205,true,,,
scopus_mar_2026,AAA - Arbeiten aus Anglistik und Amerikanistik,Gunter Narr Verlag,01715410,,1208; 3310; 1203,true,,,
scopus_mar_2026,AAC: Augmentative and Alternative Communication,Taylor and Francis Ltd.,07434618,14773848,3616; 2742,true,,,
scopus_mar_2026,AACE Clinical Case Reports,Elsevier B.V.,,23760605,2712,true,,,
scopus_mar_2026,AACE Endocrinology and Diabetes,Elsevier B.V.,,30509157,2712,true,,,
scopus_mar_2026,AACL Bioflux,Bioflux Publishing House,18448143,18449166,2308; 2312; 1104; 1105,true,,,
scopus_mar_2026,AACN Advanced Critical Care,American Association of Critical-Care Nurses,15597768,15597776,2711; 2906,true,,,
scopus_mar_2026,AACN Clinical Issues,Lippincott Williams and Wilkins,10790713,15389812,2911; 2904; 2902,true,,,
scopus_mar_2026,AACN clinical issues in critical care nursing,J. B. Lippincott Company,10467467,,2700,true,,,
scopus_mar_2026,AANNT journal / the American Association of Nephrology Nurses and Technicians,American Association of Nephrology Nurses and Technicians,07441479,,2700,true,,,
scopus_mar_2026,AAO Journal,American Academy of Osteopathy,23755776,23755717,2707; 3603; 2902,true,,,
scopus_mar_2026,AAOHN Journal,Slack Incorporated,08910162,19382448,2901; 2739,true,,,
scopus_mar_2026,AAPG Bulletin,American Association of Petroleum Geologists,01491423,,1907; 1906; 2103; 2102; 1901,true,,,
scopus_mar_2026,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",Accademia Peloritana dei Pericolanti,03650359,18251242,1900; 1207; 3100; 1100; 2600; 1600; 1700,true,,,
scopus_mar_2026,AAPPO journal : the journal of the American Association of Preferred Provider Organizations,Health Communications Inc.,10545913,,2700,true,,,
scopus_mar_2026,AAPPS Bulletin,Springer,02182203,23094710,3100,true,,,
scopus_mar_2026,AAPS Journal,Springer Science and Business Media Deutschland GmbH,,15507416,3003,true,,,
scopus_mar_2026,AAPS PharmSci,AAPS PharmSci Editorial Office,,15221059,3003; 3004,true,,,
scopus_mar_2026,AAPS PharmSciTech,Springer Science and Business Media Deutschland GmbH,,15309932,3003,true,,,
scopus_mar_2026,AARN news letter,Alberta Association of Registered Nurses,00010197,,2700,true,,,
scopus_mar_2026,AAS History Series,Univelt Inc.,07303564,,1405,true,,,
scopus_mar_2026,AAS Open Research,F1000 Research Ltd,,25159321,1000,true,,,
scopus_mar_2026,AATCC Journal of Research,SAGE Publications Inc.,24723444,23305517,2505; 2507; 1508,true,,,
scopus_mar_2026,AATCC Review,American Association of Textile Chemists and Colorists,15328813,23305525,2501; 1500; 1601,true,,,
scopus_mar_2026,AB bookman's weekly : for the specialist book world,Sol M. Malkin,00010340,,2700,true,,,
scopus_mar_2026,Ab Imperio,Ab Imperio,21664072,21649731,3312; 1202,true,,,
scopus_mar_2026,ABA Bank Marketing,American Bankers Association,15397890,,1406,true,,,
scopus_mar_2026,ABA Journal,American Bar Association,07470088,,3308,true,,,
scopus_mar_2026,ABAC Journal,Assumption University of Thailand,08580855,,3304; 3301; 2000; 1400; 1208,true,,,
scopus_mar_2026,Abacus,Wiley-Blackwell Publishing Ltd,00013072,14676281,1402,true,,,
scopus_mar_2026,ABB Review,ABB Corporate Management Services AG,10133119,,2208; 2210,true,,,
scopus_mar_2026,Abbey Newsletter,"Abbey Publications, Inc.",02768291,,1500,true,,,
scopus_mar_2026,Abdominal Imaging,Springer New York,09428925,14320509,2748; 2715; 2741; 3614,true,,,
scopus_mar_2026,Abdominal Radiology,Springer,2366004X,23660058,3614; 2748; 2715; 2741,true,,,
scopus_mar_2026,Aberdeen's Concrete Construction,Aberdeen Group,10515526,,2215,true,,,
scopus_mar_2026,Abgadiyat,Brill Academic Publishers,16878280,22138609,1204; 1202,true,,,
scopus_mar_2026,Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg,Springer Science and Business Media Deutschland GmbH,00255858,18658784,2600,true,,,
scopus_mar_2026,Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften,Matthiesen Verlag,0174870X,,2700,true,,,
scopus_mar_2026,aBIOTECH,Editorial Department of Scientia Agricultura Sinica,20966326,26621738,1102; 1110; 1305; 1301; 1311; 1312,true,,,
scopus_mar_2026,Aboriginal History Journal,ANU Press,03148769,18379389,3316; 1202,true,,,
scopus_mar_2026,Abrasive Eng,Hitchcock Publishing Company,00013277,,2200,true,,,
scopus_mar_2026,Abrasives,Abrasives Magazine Inc.,00965995,,2210,true,,,
scopus_mar_2026,Abriu,Universitat de Barcelona,20148526,20148534,1202; 1213; 1208; 1203; 3310,true,,,
scopus_mar_2026,Abstract and Applied Analysis,John Wiley and Sons Ltd,10853375,16870409,2604; 2603,true,,,
scopus_mar_2026,Abstracta Botanica,Akademiai Kiado,01336215,,1100,true,,,
scopus_mar_2026,ABU Technical Review,Asia Pacific Broadcasting Union,01266209,,2208,true,,,
scopus_mar_2026,ABWASSERTECH. ABFALLTECH.,Pfriemer,03424022,,2700,true,,,
scopus_mar_2026,ABWASSERTECHNIK,Pfriemer,00013706,,2200,true,,,
scopus_mar_2026,Academe,American Association of University Professors,01902946,,3304,true,,,
scopus_mar_2026,Academia (Greece),Higher Education Policy Network,,22411402,3304,true,,,
scopus_mar_2026,Academia Biology,Academia.edu,,28374010,2725; 1311; 1301; 2400; 1312; 1303; 1100,true,,,
scopus_mar_2026,Academia Economic Papers,Institute of Economics Academia Sinica,1018161X,18104851,2000,true,,,
scopus_mar_2026,Academia Peruana de Cirugia,Academia Peruana de Cirugia,00013854,,2700,true,,,
scopus_mar_2026,Academia Revista Latinoamericana de Administracion,Emerald Publishing,10128255,20565127,1408; 1803; 1407; 1403,true,,,
scopus_mar_2026,Academic Emergency Medicine,Wiley-Blackwell,10696563,15532712,2711,true,,,
scopus_mar_2026,Academic Forensic Pathology,SAGE Publications Inc.,,19253621,2734,true,,,
scopus_mar_2026,Academic Journal of Cancer Research,International Digital Organization for Scientific Information,19958943,,1306; 2730,true,,,
scopus_mar_2026,Academic Journal of Interdisciplinary Studies,Richtmann Publishing Ltd,22813993,22814612,2301; 3300; 2001; 1401; 1201,true,,,
scopus_mar_2026,Academic Journal of Manufacturing Engineering,Editura Politechnica,15837904,,2209,true,,,
scopus_mar_2026,Academic Journal of Modern Philology,"College for Interdisciplinary Studies, University of Wroclaw",22997164,23533218,3314; 3310; 1212; 1208; 1203,true,,,
scopus_mar_2026,Academic Journal of Naval Medical University,Second Military Medical University Press,20971338,,2700,true,,,
scopus_mar_2026,Academic Journal of Second Military Medical University,Second Military Medical University Press,0258879X,,2700,true,,,
scopus_mar_2026,Academic Journal of Xi'an Jiaotong University,Xi'an Medical University,16718267,,2700; 1300,true,,,
scopus_mar_2026,Academic Leadership,Journal of Academic Leadership,15337812,,1407; 3304,true,,,
scopus_mar_2026,Academic Medicine,Wolters Kluwer Health,10402446,1938808X,3304; 2700,true,,,
scopus_mar_2026,Academic Nurse,"Colombia University, School of Nursing",10620249,,2900; 2922,true,,,
scopus_mar_2026,Academic Pathology,Association of Pathology Chairs,,23742895,2734,true,,,
scopus_mar_2026,Academic Pediatrics,Elsevier Inc.,18762859,18762867,2735,true,,,
scopus_mar_2026,Academic Psychiatry,Springer International Publishing AG,10429670,15457230,2738; 3304,true,,,
scopus_mar_2026,Academic Quarter,Aalborg University press,,19040008,1200,true,,,
scopus_mar_2026,Academic Questions,National Association of Scholars,08954852,19364709,3304,true,,,
scopus_mar_2026,Academic Radiology,Elsevier Inc.,10766332,18784046,2741,true,,,
scopus_mar_2026,Academica Turistica,University of Primorska,18553303,23354194,1405; 1409; 3300,true,,,
scopus_mar_2026,"Academie des Sciences. Comptes Rendus. Serie 4: Physique, Astrophysique",Elsevier Masson s.r.l.,12962147,,3100,true,,,
scopus_mar_2026,Academy of Accounting and Financial Studies Journal,Allied Academies,10963685,15282635,2002; 2003; 1402,true,,,
scopus_mar_2026,Academy of Banking Studies Journal,Allied Academies,19392230,19392249,2002; 2003,true,,,
scopus_mar_2026,Academy of Entrepreneurship Journal,Allied Academies,10879595,15282686,1408; 2002; 1403,true,,,
scopus_mar_2026,Academy of Management Annals,Academy of Management,19416520,19416067,1407; 1403,true,,,
scopus_mar_2026,Academy of Management Discoveries,Academy of Management,,21681007,1408; 1407; 1403; 1410,true,,,
scopus_mar_2026,Academy of Management Executive,Academy of Management,10795545,21672725,1406,true,,,
scopus_mar_2026,Academy of Management Journal,Academy of Management,00014273,,1405; 1408; 1400; 1403,true,,,
scopus_mar_2026,Academy of Management Learning and Education,George Washington University,1537260X,,3304; 1407,true,,,
scopus_mar_2026,Academy of Management Perspectives,Academy of Management,15589080,,1408; 1403; 1406,true,,,
scopus_mar_2026,Academy of Management Review,Academy of Management,03637425,,1400; 1408; 1405,true,,,
scopus_mar_2026,Academy of Marketing Studies Journal,Allied Academies,10956298,15282678,1406; 2002,true,,,
scopus_mar_2026,Academy of Strategic Management Journal,Allied Business Academies,15441458,19396104,1408; 1403,true,,,
scopus_mar_2026,Acadiensis,University of New Brunswick,00445851,17127432,1202,true,,,
scopus_mar_2026,Acarina,University of Tyumen,01328077,22215115,1109,true,,,
scopus_mar_2026,Acarologia,Les Amis d'Acarologia,0044586X,21077207,1109,true,,,
scopus_mar_2026,ACC Cardiosource Review Journal,Elsevier USA,15568571,,2705; 2900,true,,,
scopus_mar_2026,ACC Current Journal Review,Elsevier Inc.,10621458,,2705,true,,,
scopus_mar_2026,Access Microbiology,Microbiology Society,,25168290,2726; 2404,true,,,
scopus_mar_2026,Access to Justice in Eastern Europe,Access to Justice in Eastern Europe,26630575,26630583,3308,true,,,
scopus_mar_2026,Accident Analysis and Prevention,Elsevier Ltd,00014575,18792057,3313; 3308; 2213; 2739,true,,,
scopus_mar_2026,Accident and Emergency Nursing,Churchill Livingstone,09652302,,2907,true,,,
scopus_mar_2026,Accountability in Research,Taylor and Francis Ltd.,08989621,15455815,3309; 3304,true,,,
scopus_mar_2026,Accounting,Growing Science,23697393,23697407,3003; 1402,true,,,
scopus_mar_2026,Accounting and Business Research,Routledge,00014788,21594260,1402,true,,,
scopus_mar_2026,Accounting and Finance,Wiley-Blackwell,08105391,1467629X,2001; 2003; 1402,true,,,
scopus_mar_2026,Accounting and Financial Control,LLC CPC Business Perspectives,25435485,25441450,3308; 2001; 1403; 1402; 1401,true,,,
scopus_mar_2026,Accounting and the Public Interest,American Accounting Association,,15309320,1402,true,,,
scopus_mar_2026,Accounting Education,Routledge,09639284,14684489,3304; 1402,true,,,
scopus_mar_2026,Accounting Forum,Taylor and Francis Ltd.,01559982,14676303,2003; 1402,true,,,
scopus_mar_2026,Accounting Historians Journal,American Accounting Association,01484184,23274468,1202; 1402,true,,,
scopus_mar_2026,Accounting History,SAGE Publications Ltd,10323732,17493374,1202; 1402,true,,,
scopus_mar_2026,Accounting History Review,Routledge,21552851,2155286X,1202; 1400; 1401; 1402,true,,,
scopus_mar_2026,Accounting Horizons,American Accounting Association,08887993,15587975,1402,true,,,
scopus_mar_2026,Accounting in Europe,Routledge,17449480,17449499,2003; 1402; 1403,true,,,
scopus_mar_2026,Accounting Perspectives,John Wiley and Sons Inc,1911382X,19113838,2003; 1402,true,,,
scopus_mar_2026,Accounting Research Journal,Emerald Publishing,10309616,18395465,2003; 1402,true,,,
scopus_mar_2026,Accounting Review,American Accounting Association,00014826,15587967,2002; 1402; 2003,true,,,
scopus_mar_2026,"Accounting, Auditing and Accountability Journal",Emerald Publishing,09513574,20513151,1402; 2001,true,,,
scopus_mar_2026,"Accounting, Business and Financial History","Routledge, Taylor & Francis Group",09585206,14664275,1400; 1401; 1402,true,,,
scopus_mar_2026,"Accounting, Economics and Law: A Convivium",Walter de Gruyter GmbH,,21522820,3308; 2001; 1402,true,,,
scopus_mar_2026,"Accounting, Finance and Governance Review",Irish Accounting and Finance Association,20098766,27377482,2003; 1408; 1401; 1402,true,,,
scopus_mar_2026,"Accounting, Management and Information Technologies",Elsevier Ltd,09598022,18737595,3309; 1710; 1407; 1405; 1404,true,,,
scopus_mar_2026,"Accounting, Organizations and Society",Elsevier Ltd,03613682,,1407; 3312; 1802; 1402,true,,,
scopus_mar_2026,Accounts of Chemical Research,American Chemical Society,00014842,15204898,1600,true,,,
scopus_mar_2026,Accounts of Materials Research,American Chemical Society,,26436728,2505; 2507; 2501; 1501,true,,,
scopus_mar_2026,Accreditation and Quality Assurance,Springer New York,09491775,14320517,2213; 3105; 1500; 1600,true,,,
scopus_mar_2026,ACDI Anuario Colombiano de Derecho Internacional,Universidad del Rosario,20271131,21454493,3308,true,,,
scopus_mar_2026,Acervo,Arquivo Nacional,0102700X,22378723,3309; 1202,true,,,
scopus_mar_2026,ACG Case Reports Journal,Lippincott Williams and Wilkins,,23263253,2700,true,,,
scopus_mar_2026,ACH - Models in Chemistry,Akademiai Kiado,12178969,,1600,true,,,
scopus_mar_2026,ACI Materials Journal,American Concrete Institute,0889325X,,2205; 2500; 2215,true,,,
scopus_mar_2026,ACI Structural Journal,American Concrete Institute,08893241,,2205; 2215,true,,,
scopus_mar_2026,ACIMED,Centro Nacional de Informacion de Ciencias Medicas,10249435,15612880,3605; 2719,true,,,
scopus_mar_2026,ACM Communications in Computer Algebra,Association for Computing Machinery,19322232,19322240,2605; 1703,true,,,
scopus_mar_2026,ACM Computing Surveys,Association for Computing Machinery,03600300,15577341,1700; 2614,true,,,
scopus_mar_2026,ACM Inroads,Association for Computing Machinery,21532184,21532192,3304; 1700,true,,,
scopus_mar_2026,ACM Journal of Experimental Algorithmics,Association for Computing Machinery,10846654,,2614,true,,,
scopus_mar_2026,ACM Journal on Educational Resources in Computing,Association for Computing Machinery,15314278,,1700,true,,,
scopus_mar_2026,ACM Journal on Emerging Technologies in Computing Systems,Association for Computing Machinery,15504832,15504840,2208; 1708; 1712,true,,,
scopus_mar_2026,ACM SIGBED Review,Association for Computing Machinery,,15513688,2201; 1701,true,,,
scopus_mar_2026,ACM SIGPLAN Notices,Association for Computing Machinery,15232867,15581160,1700,true,,,
scopus_mar_2026,ACM Transactions on Accessible Computing,Association for Computing Machinery,19367228,,1706; 1709,true,,,
scopus_mar_2026,ACM Transactions on Algorithms,Association for Computing Machinery,15496325,15496333,2601,true,,,
scopus_mar_2026,ACM Transactions on Applied Perception,Association for Computing Machinery,15443558,15443965,3205; 1700; 2614,true,,,
scopus_mar_2026,ACM Transactions on Architecture and Code Optimization,Association for Computing Machinery,15443566,15443973,1710; 1712; 1708,true,,,
scopus_mar_2026,ACM Transactions on Asian and Low-Resource Language Information Processing,Association for Computing Machinery,23754699,23754702,1700,true,,,
scopus_mar_2026,ACM Transactions on Asian Language Information Processing,Association for Computing Machinery,15300226,15583430,1700,true,,,
scopus_mar_2026,ACM Transactions on Autonomous and Adaptive Systems,Association for Computing Machinery,15564665,15564703,1712; 1701; 2207,true,,,
scopus_mar_2026,ACM Transactions on Computation Theory,Association for Computing Machinery,19423454,19423462,1703; 2614,true,,,
scopus_mar_2026,ACM Transactions on Computational Logic,Association for Computing Machinery,15293785,1557945X,2605; 2609; 1700; 2614,true,,,
scopus_mar_2026,ACM Transactions on Computer Systems,Association for Computing Machinery,07342071,15577333,1700,true,,,
scopus_mar_2026,ACM Transactions on Computer-Human Interaction,Association for Computing Machinery,10730516,15577325,1709,true,,,
scopus_mar_2026,ACM Transactions on Computing Education,Association for Computing Machinery,,19466226,3304; 1700,true,,,
scopus_mar_2026,ACM Transactions on Computing for Healthcare,Association for Computing Machinery,26911957,26378051,3605; 2718; 2701; 1710; 1712; 1706; 2204,true,,,
scopus_mar_2026,ACM Transactions on Cyber-Physical Systems,Association for Computing Machinery,2378962X,23789638,1702; 2606; 1705; 1708; 1709,true,,,
scopus_mar_2026,ACM Transactions on Database Systems,Association for Computing Machinery,03625915,15574644,1710,true,,,
scopus_mar_2026,ACM Transactions on Design Automation of Electronic Systems,Association for Computing Machinery,10844309,15577309,2208; 1704; 1706,true,,,
scopus_mar_2026,ACM Transactions on Economics and Computation,Association for Computing Machinery,21678375,21678383,2605; 1406; 2002; 2613; 1701,true,,,
scopus_mar_2026,ACM Transactions on Embedded Computing Systems,Association for Computing Machinery,15399087,15583465,1712; 1708,true,,,
scopus_mar_2026,ACM Transactions on Evolutionary Learning and Optimization,Association for Computing Machinery,2688299X,26883007,1707; 1702; 1712; 1706; 1703; 1701,true,,,
scopus_mar_2026,ACM Transactions on Graphics,Association for Computing Machinery,07300301,15577368,1704,true,,,
scopus_mar_2026,ACM Transactions on Human-Robot Interaction,Association for Computing Machinery,,25739522,1702; 1709,true,,,
scopus_mar_2026,ACM Transactions on Information and System Security,Association for Computing Machinery,10949224,15577406,2213; 1700,true,,,
scopus_mar_2026,ACM Transactions on Information Systems,Association for Computing Machinery,10468188,15582868,1706; 1400; 1710,true,,,
scopus_mar_2026,ACM Transactions on Intelligent Systems and Technology,Association for Computing Machinery,21576904,21576912,1702; 2614,true,,,
scopus_mar_2026,ACM Transactions on Interactive Intelligent Systems,Association for Computing Machinery,21606455,21606463,1702; 1709,true,,,
scopus_mar_2026,ACM Transactions on Internet of Things,Association for Computing Machinery,25776207,,1705; 1706; 1708; 1710; 1712,true,,,
scopus_mar_2026,ACM Transactions on Internet Technology,Association for Computing Machinery,15335399,15576051,1705,true,,,
scopus_mar_2026,ACM Transactions on Knowledge Discovery from Data,Association for Computing Machinery,15564681,1556472X,1700,true,,,
scopus_mar_2026,ACM Transactions on Management Information Systems,Association for Computing Machinery,2158656X,21586578,1700; 1404,true,,,
scopus_mar_2026,ACM Transactions on Mathematical Software,Association for Computing Machinery,00983500,15577295,2604; 1712,true,,,
scopus_mar_2026,ACM Transactions on Modeling and Computer Simulation,Association for Computing Machinery,10493301,15581195,1706; 2611,true,,,
scopus_mar_2026,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,Association for Computing Machinery,23763639,23763647,1705; 1708; 2213; 2214; 1710; 1712; 1701,true,,,
scopus_mar_2026,"ACM Transactions on Multimedia Computing, Communications and Applications",Association for Computing Machinery,15516857,15516865,1705; 1708,true,,,
scopus_mar_2026,ACM Transactions on Office Information Systems,Association for Computing Machinery,07342047,,2200,true,,,
scopus_mar_2026,ACM Transactions on Parallel Computing,Association for Computing Machinery,23294949,23294957,1703; 1706; 1708; 2611; 1712,true,,,
scopus_mar_2026,ACM Transactions on Privacy and Security,Association for Computing Machinery,24712566,24712574,2213; 1700,true,,,
scopus_mar_2026,ACM Transactions on Programming Languages and Systems,Association for Computing Machinery,01640925,15584593,1712,true,,,
scopus_mar_2026,ACM Transactions on Quantum Computing,Association for Computing Machinery,,26436817,1703; 3109; 1701; 2614,true,,,
scopus_mar_2026,ACM Transactions on Reconfigurable Technology and Systems,Association for Computing Machinery,19367406,19367414,1700,true,,,
scopus_mar_2026,ACM Transactions on Sensor Networks,Association for Computing Machinery,15504859,15504867,1705,true,,,
scopus_mar_2026,ACM Transactions on Software Engineering and Methodology,Association for Computing Machinery,1049331X,15577392,1712,true,,,
scopus_mar_2026,ACM Transactions on Spatial Algorithms and Systems,Association for Computing Machinery,23740353,23740361,2611; 2608; 2607; 1711; 1710; 1706,true,,,
scopus_mar_2026,ACM Transactions on Speech and Language Processing,Association for Computing Machinery,15504875,15504883,2605; 1701,true,,,
scopus_mar_2026,ACM Transactions on Storage,Association for Computing Machinery,15533077,15533093,1708,true,,,
scopus_mar_2026,ACM Transactions on the Web,Association for Computing Machinery,15591131,1559114X,1705,true,,,
scopus_mar_2026,ACME,Okanagan University College,,14929732,3305,true,,,
scopus_mar_2026,ACOG Clinical Review,American College of Obstetricians and Gynecologist,10856862,,2729,true,,,
scopus_mar_2026,ACOG committee opinion,American College of Obstetricians and Gynecologist,1074861X,,2700,true,,,
scopus_mar_2026,ACOG Current Journal Review,Elsevier B.V.,08971471,,unknown,true,,,
scopus_mar_2026,ACORN,"Australian College of Operating Room Nurses, ACORN",14487535,,2902; 2914,true,,,
scopus_mar_2026,Acotaciones,Real Escuela Superior de Arte Dramatico,11307269,24443948,1208; 1213,true,,,
scopus_mar_2026,Acoustic Research Letters Online,Acoustical Society of America,15297853,,3102,true,,,
scopus_mar_2026,Acoustical Physics,Pleiades Publishing,10637710,15626865,3102,true,,,
scopus_mar_2026,Acoustical Science and Technology,Acoustical Society of Japan,13463969,13475177,3102,true,,,
scopus_mar_2026,Acoustics,Multidisciplinary Digital Publishing Institute (MDPI),,2624599X,3102,true,,,
scopus_mar_2026,Acoustics Australia,Australian Acoustical Society,08146039,18392571,3102,true,,,
scopus_mar_2026,Acoustics Bulletin,Institute of Acoustics,0308437X,,3102,true,,,
scopus_mar_2026,Acoustics Letters,Parjon Information Services,01401599,,3102,true,,,
scopus_mar_2026,ACP Journal Club,American College of Physicians,10568751,15398560,2700,true,,,
scopus_mar_2026,Acque Sotterranee - Italian Journal of Groundwater,Page Press Publications,1828454X,22806458,1908; 1909; 2312; 2304; 2305,true,,,
scopus_mar_2026,Acquisitions Librarian,Haworth Press Inc.,08963576,1544435X,3309,true,,,
scopus_mar_2026,ACR Open Rheumatology,John Wiley and Sons Inc,,25785745,2745,true,,,
scopus_mar_2026,ACRN Journal of Finance and Risk Perspectives,ACRN Oxford Ltd.,,23057394,1804; 2003; 1402; 1403,true,,,
scopus_mar_2026,Acrocephalus,Sciendo,03512851,21996067,1103,true,,,
scopus_mar_2026,Across Languages and Cultures,Akademiai Kiado,15851923,15882519,3310; 1203,true,,,
scopus_mar_2026,ACS Agricultural Science and Technology,American Chemical Society,,26921952,1110; 1101; 1102; 1106,true,,,
scopus_mar_2026,ACS Applied Bio Materials,American Chemical Society,,25766422,2704; 2204; 1600; 2502,true,,,
scopus_mar_2026,ACS Applied Electronic Materials,American Chemical Society,,26376113,1603; 2505; 2504,true,,,
scopus_mar_2026,ACS Applied Energy Materials,American Chemical Society,,25740962,2208; 2505; 1603; 2102; 1501,true,,,
scopus_mar_2026,ACS Applied Materials and Interfaces,American Chemical Society,19448244,19448252,2500,true,,,
scopus_mar_2026,ACS Applied Nano Materials,American Chemical Society,,25740970,2500,true,,,
scopus_mar_2026,ACS Applied Optical Materials,American Chemical Society,,27719855,3107; 2504; 1607,true,,,
scopus_mar_2026,ACS Applied Polymer Materials,American Chemical Society,,26376105,1605; 2507; 1508,true,,,
scopus_mar_2026,ACS Bio and Med Chem Au,American Chemical Society,,26942437,3002; 3003; 1312; 1303,true,,,
scopus_mar_2026,ACS Biomaterials Science and Engineering,American Chemical Society,,23739878,2204; 2502,true,,,
scopus_mar_2026,ACS Catalysis,American Chemical Society,,21555435,1503; 1600,true,,,
scopus_mar_2026,ACS Central Science,American Chemical Society,23747943,23747951,1500; 1600,true,,,
scopus_mar_2026,ACS Chemical Biology,American Chemical Society,15548929,15548937,1313; 1303,true,,,
scopus_mar_2026,ACS Chemical Health and Safety,American Chemical Society,18715532,18780504,2739; 1600; 1504,true,,,
scopus_mar_2026,ACS Chemical Neuroscience,American Chemical Society,,19487193,1307; 1303; 1314; 2805,true,,,
scopus_mar_2026,ACS Combinatorial Science,American Chemical Society,21568952,21568944,1600,true,,,
scopus_mar_2026,ACS Earth and Space Chemistry,American Chemical Society,,24723452,1912; 1902; 1906,true,,,
scopus_mar_2026,ACS Energy Letters,American Chemical Society,,23808195,2505; 2102; 2103; 2105; 1601,true,,,
scopus_mar_2026,ACS Engineering Au,American Chemical Society,,26942488,2102; 1508; 1507; 1501,true,,,
scopus_mar_2026,ACS Environmental Au,American Chemical Society,,26942518,2312; 2301; 2305,true,,,
scopus_mar_2026,ACS ES and T Engineering,American Chemical Society,,26900645,1504; 1508; 2304; 1501,true,,,
